"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 06 02:44:52 UTC 2026","Fri Mar 06 02:45:03 UTC 2026","10982","","com.insiderone.qa.tests.InsiderOneUITest","","com.insiderone.qa.tests.InsiderOneUITest","viewRole_shouldOpenLeverApplicationForm","viewRole_shouldOpenLeverApplicationForm()","Verifies that 'View Role/Apply' button redirects to Lever job application page with form visible"
"passed","Fri Mar 06 02:44:31 UTC 2026","Fri Mar 06 02:44:38 UTC 2026","7184","","com.insiderone.qa.tests.InsiderOneUITest","","com.insiderone.qa.tests.InsiderOneUITest","allJobListings_shouldMatchQADepartmentAndIstanbulLocation","allJobListings_shouldMatchQADepartmentAndIstanbulLocation()","Verifies every job listing matches the selected department and location filters"
"passed","Fri Mar 06 02:44:38 UTC 2026","Fri Mar 06 02:44:43 UTC 2026","5237","","com.insiderone.qa.tests.InsiderOneUITest","","com.insiderone.qa.tests.InsiderOneUITest","homePage_shouldLoadWithAllMainBlocks","homePage_shouldLoadWithAllMainBlocks()","Verifies that insiderone.com homepage loads correctly with navigation, hero, content, and footer blocks"
"passed","Fri Mar 06 02:44:43 UTC 2026","Fri Mar 06 02:44:52 UTC 2026","8626","","com.insiderone.qa.tests.InsiderOneUITest","","com.insiderone.qa.tests.InsiderOneUITest","careersPage_filterApplied_shouldShowJobListings","careersPage_filterApplied_shouldShowJobListings()","Navigates to careers page, clicks 'See all teams', 'Quality Assurance', apply location filter, verifies list"
"failed","Fri Mar 06 02:45:03 UTC 2026","Fri Mar 06 02:45:08 UTC 2026","5141","","com.insiderone.qa.tests.InsiderFailingUITest","","com.insiderone.qa.tests.InsiderFailingUITest","failingTest_shouldCaptureScreenshot","failingTest_shouldCaptureScreenshot()","This test is designed to fail to demonstrate the automatic screenshot capture feature."
